N-gram: 1, Metric: kl_divergence, #n words: 10, Accuracy: 0.9411, F1-Score: 0.9423
N-gram: 1, Metric: kl_divergence, #n words: 20, Accuracy: 0.9594, F1-Score: 0.9603
N-gram: 1, Metric: kl_divergence, #n words: 30, Accuracy: 0.9708, F1-Score: 0.9715
N-gram: 1, Metric: kl_divergence, #n words: 40, Accuracy: 0.9786, F1-Score: 0.9790
N-gram: 1, Metric: kl_divergence, #n words: 50, Accuracy: 0.9847, F1-Score: 0.9851
N-gram: 1, Metric: jensen_shannon, #n words: 10, Accuracy: 0.9007, F1-Score: 0.9059
N-gram: 1, Metric: jensen_shannon, #n words: 20, Accuracy: 0.9303, F1-Score: 0.9344
N-gram: 1, Metric: jensen_shannon, #n words: 30, Accuracy: 0.9507, F1-Score: 0.9542
N-gram: 1, Metric: jensen_shannon, #n words: 40, Accuracy: 0.9644, F1-Score: 0.9675
N-gram: 1, Metric: jensen_shannon, #n words: 50, Accuracy: 0.9731, F1-Score: 0.9755
N-gram: 1, Metric: cosine, #n words: 10, Accuracy: 0.8133, F1-Score: 0.8182
N-gram: 1, Metric: cosine, #n words: 20, Accuracy: 0.8529, F1-Score: 0.8562
N-gram: 1, Metric: cosine, #n words: 30, Accuracy: 0.8889, F1-Score: 0.8915
N-gram: 1, Metric: cosine, #n words: 40, Accuracy: 0.9151, F1-Score: 0.9174
N-gram: 1, Metric: cosine, #n words: 50, Accuracy: 0.9360, F1-Score: 0.9383
N-gram: 1, Metric: euclidean, #n words: 10, Accuracy: 0.8188, F1-Score: 0.8230
N-gram: 1, Metric: euclidean, #n words: 20, Accuracy: 0.8566, F1-Score: 0.8595
N-gram: 1, Metric: euclidean, #n words: 30, Accuracy: 0.8909, F1-Score: 0.8932
N-gram: 1, Metric: euclidean, #n words: 40, Accuracy: 0.9156, F1-Score: 0.9178
N-gram: 1, Metric: euclidean, #n words: 50, Accuracy: 0.9355, F1-Score: 0.9378
N-gram: 2, Metric: kl_divergence, #n words: 10, Accuracy: 0.9810, F1-Score: 0.9811
N-gram: 2, Metric: kl_divergence, #n words: 20, Accuracy: 0.9898, F1-Score: 0.9898
N-gram: 2, Metric: kl_divergence, #n words: 30, Accuracy: 0.9942, F1-Score: 0.9942
N-gram: 2, Metric: kl_divergence, #n words: 40, Accuracy: 0.9963, F1-Score: 0.9963
N-gram: 2, Metric: kl_divergence, #n words: 50, Accuracy: 0.9964, F1-Score: 0.9963
N-gram: 2, Metric: jensen_shannon, #n words: 10, Accuracy: 0.9565, F1-Score: 0.9569
